Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,223.6300048828125,226.97000122070312,222.02999877929688,226.69000244140625,224.76284790039062,2742800
2022-01-04,225.75999450683594,228.8000030517578,224.25,227.83999633789062,225.90306091308594,2491700
2022-01-05,227.0399932861328,229.8699951171875,224.52000427246094,225.13999938964844,223.22601318359375,2806000
2022-01-06,225.13999938964844,226.66000366210938,223.69000244140625,225.1699981689453,223.25576782226562,2198300
2022-01-07,223.5399932861328,228.19000244140625,223.5399932861328,227.2899932861328,225.3577423095703,2343000
2022-01-10,229.25,230.63999938964844,226.0,230.3699951171875,228.41156005859375,3191900
2022-01-11,230.47000122070312,232.50999450683594,228.11000061035156,232.3800048828125,230.40447998046875,2317900
2022-01-12,232.3800048828125,232.61000061035156,228.52000427246094,231.75999450683594,229.78973388671875,1885800
2022-01-13,232.0500030517578,233.22999572753906,230.3300018310547,230.85000610351562,228.88748168945312,2152900
2022-01-14,230.69000244140625,235.8000030517578,229.99000549316406,235.36000061035156,233.359130859375,3012000
2022-01-18,233.52000427246094,234.77000427246094,231.6999969482422,233.8300018310547,231.84214782714844,3720400
2022-01-19,233.8000030517578,234.3300018310547,230.6999969482422,231.3000030517578,229.33364868164062,2061200
2022-01-20,233.72999572753906,233.72999572753906,228.80999755859375,228.89999389648438,226.9540557861328,2093700
2022-01-21,230.60000610351562,231.4600067138672,227.30999755859375,227.72000122070312,225.78408813476562,3534800
2022-01-24,227.47999572753906,229.13999938964844,219.97999572753906,226.0800018310547,224.1580352783203,4419100
2022-01-25,223.67999267578125,227.5,222.27000427246094,225.0399932861328,223.12686157226562,2769900
2022-01-26,221.6199951171875,226.92999267578125,221.1199951171875,222.5399932861328,220.6481170654297,2861600
2022-01-27,222.39999389648438,228.0399932861328,222.30999755859375,224.0,222.095703125,2744000
2022-01-28,224.0500030517578,229.14999389648438,222.25,229.13999938964844,227.1920166015625,2502100
2022-01-31,226.97999572753906,227.94000244140625,225.52000427246094,227.13999938964844,225.20901489257812,4504300
2022-02-01,227.13999938964844,229.1999969482422,225.52000427246094,228.67999267578125,226.7359161376953,2498200
2022-02-02,228.13999938964844,229.13999938964844,225.74000549316406,228.92999267578125,226.98379516601562,2397800
2022-02-03,228.66000366210938,229.0,223.75,224.0399932861328,222.13536071777344,3002400
